Posting Date,Description,Amount,Type,Balance
06/02/2026,WHOLE FOODS MARKET #102,-94.37,DEBIT,3215.80
06/02/2026,SQ *BLUEBTL COFFEE 4421,-6.75,DEBIT,3209.05
06/03/2026,NETFLIX.COM,-17.99,DEBIT,3191.06
06/04/2026,SHELL OIL 5744,-48.20,DEBIT,3142.86
06/05/2026,ACME CORP PAYROLL DIRECT DEP,2450.00,CREDIT,5592.86
06/05/2026,ONLINE TRANSFER TO SAVINGS XXXX8821,-400.00,DEBIT,5192.86
06/06/2026,"COSTCO, WHSE #0441",-212.88,DEBIT,4979.98
06/07/2026,SPOTIFY USA,-11.99,DEBIT,4967.99
06/07/2026,UBER EATS PENDING,-32.40,DEBIT,4935.59
06/08/2026,CVS/PHARMACY #04821,-18.62,DEBIT,4916.97
06/08/2026,GEICO AUTO INSURANCE,-154.00,DEBIT,4762.97
06/09/2026,CHIPOTLE ONLINE,-14.85,DEBIT,4748.12
06/09/2026,ATM WITHDRAWAL 00482 MAIN ST,-100.00,DEBIT,4648.12
06/10/2026,COMCAST XFINITY INTERNET,-69.99,DEBIT,4578.13
06/10/2026,TRADER JOE S #553,-71.44,DEBIT,4506.69
